SITEID,SITEID,STATE,MAJOR_FLOOD,FLOW_PEAK_LOGPEARSON3-Q100-SURPRISE[adim],VOL_120H_LOGPEARSON3-Q100-SURPRISE[adim],VOL_240H_LOGPEARSON3-Q100-SURPRISE[adim],diff
2122512,2,2,2,2,2,2,0
212260,7,7,7,7,7,7,0
212270,6,6,6,6,6,6,0
212271,4,4,4,4,4,4,0
2122711,3,3,3,3,3,3,0
212280,7,7,7,6,4,4,0
212291,5,5,5,5,3,4,0
213200,5,5,5,5,3,3,0
2132101,3,3,3,3,1,0,0
2132102,3,3,3,3,0,0,0
214003,6,6,6,6,3,3,0
218007,6,6,6,6,4,4,0
219001,3,3,3,3,1,1,0
710229,5,5,5,5,4,3,0
422301,4,4,4,3,2,2,0
422304,1,1,1,0,1,1,0
422307,2,2,2,1,1,1,0
422313,15,15,15,13,11,7,0
422317,10,10,10,10,6,5,0
422334,10,10,10,9,7,5,0
422341,13,13,13,13,5,3,0
422394,15,15,15,15,8,5,0
422407,3,3,3,2,2,3,0
423205,5,5,5,5,4,4,0
425016,2,2,2,2,1,1,0
450-1,2,2,2,2,1,1,0
473-1,1,1,1,1,0,0,0
499-1,2,2,2,2,2,1,0
524-1,2,2,2,2,1,1,0
635-1,2,2,2,2,1,1,0
701006,1,1,1,1,0,0,0
701009,1,1,1,1,1,1,0
704004,1,1,1,0,0,0,0
707005,3,3,3,3,2,2,0
708002,5,5,5,4,4,4,0
708003,3,3,3,3,2,2,0
710003,5,5,5,5,4,4,0
710204,3,3,3,3,3,2,0
422302,1,1,1,0,0,0,0
421197,1,1,1,0,0,0,0
219003,5,5,5,5,3,3,0
421192,2,2,2,2,2,2,0
219006,6,6,6,6,4,3,0
219013,4,4,4,4,0,1,0
219015,2,2,2,1,1,0,0
219017,6,6,6,5,4,5,0
219018,5,5,5,4,1,2,0
219022,6,6,6,5,5,5,0
219025,5,5,5,5,3,3,0
219032,2,2,2,2,2,1,0
219034,2,2,2,1,0,0,0
220001,1,1,1,1,0,0,0
220003,5,5,5,5,5,4,0
220006,3,3,3,2,1,1,0
221001,3,3,3,3,1,0,0
221002,5,5,5,5,2,3,0
221010,4,4,4,4,2,3,0
221207,1,1,1,1,0,0,0
421101,1,1,1,1,1,1,0
421107,4,4,4,4,3,3,0
421125,2,2,2,1,1,1,0
421184,2,2,2,2,2,2,0
421185,1,1,1,0,0,0,0
421188,2,2,2,2,2,0,0
421191,2,2,2,2,2,2,0
137201,11,11,11,11,9,7,0
137103,8,8,8,8,6,0,0
137101,11,11,11,11,10,8,0
401203,4,4,4,4,4,3,0
238235,1,1,1,1,1,1,0
401007,2,2,2,2,2,2,0
401008,1,1,1,1,0,0,0
401009,4,4,4,4,2,3,0
401012,4,4,4,3,4,4,0
401013,3,3,3,3,2,2,0
401014,4,4,4,3,2,2,0
401016,3,3,3,2,1,1,0
401017,2,2,2,2,1,0,0
401024,3,3,3,2,1,2,0
401201,4,4,4,4,4,4,0
401205,2,2,2,0,0,0,0
136302,1,1,1,1,1,1,0
401208,4,4,4,3,1,1,0
401210,6,6,6,5,4,5,0
401212,5,5,5,4,3,3,0
401216,4,4,4,4,4,4,0
401217,5,5,5,5,3,3,0
401218,2,2,2,2,2,1,0
401220,5,5,5,4,3,3,0
401226,3,3,3,3,2,2,0
401229,3,3,3,3,3,3,0
401230,4,4,4,3,3,3,0
401549,3,3,3,3,3,3,0
238231,2,2,2,2,1,1,0
238230,2,2,2,1,1,1,0
238229,2,2,2,1,1,0,0
238228,1,1,1,1,1,1,0
235211,2,2,2,2,1,0,0
235216,2,2,2,2,2,2,0
235219,2,2,2,2,2,1,0
235224,2,2,2,2,2,2,0
235227,1,1,1,1,1,1,0
235233,1,1,1,1,1,1,0
235237,1,1,1,1,1,1,0
236202,2,2,2,2,2,2,0
236203,2,2,2,2,1,1,0
236205,1,1,1,1,1,1,0
236209,4,4,4,4,4,4,0
236210,3,3,3,3,3,3,0
236212,1,1,1,1,1,1,0
236215,2,2,2,2,1,0,0
236216,3,3,3,3,3,3,0
236219,3,3,3,3,2,1,0
237200,1,1,1,1,1,1,0
237202,1,1,1,1,1,0,0
237206,1,1,1,1,1,0,0
237207,1,1,1,1,1,1,0
238219,1,1,1,1,1,1,0
238220,1,1,1,1,1,1,0
238223,1,1,1,1,1,1,0
402204,4,4,4,4,3,1,0
402206,4,4,4,4,1,1,0
402217,3,3,3,1,1,1,0
405215,3,3,3,3,2,2,0
405218,3,3,3,3,3,3,0
405219,2,2,2,2,2,2,0
405227,2,2,2,2,1,1,0
405228,3,3,3,2,2,2,0
405231,3,3,3,3,1,1,0
405234,4,4,4,4,2,1,0
405237,4,4,4,4,4,3,0
405238,2,2,2,2,2,0,0
405240,2,2,2,2,1,1,0
405245,4,4,4,4,1,1,0
405247,3,3,3,3,1,1,0
405251,4,4,4,2,1,1,0
405263,1,1,1,1,0,0,0
405264,2,2,2,2,1,1,0
405274,4,4,4,3,3,2,0
405288,1,1,1,1,0,0,0
405294,1,1,1,1,0,0,0
405321,2,2,2,2,1,0,0
405328,1,1,1,1,1,1,0
406213,2,2,2,2,2,2,0
406250,2,2,2,2,2,0,0
406266,1,1,1,1,0,0,0
406280,2,2,2,2,1,1,0
405217,2,2,2,2,1,1,0
405214,3,3,3,3,2,2,0
403200,6,6,6,5,5,5,0
405212,3,3,3,1,1,1,0
403205,5,5,5,5,5,4,0
403210,4,4,4,4,2,1,0
403213,5,5,5,4,3,2,0
403214,4,4,4,4,2,2,0
403217,3,3,3,3,2,2,0
403221,4,4,4,4,4,2,0
403222,3,3,3,3,3,3,0
403223,3,3,3,3,2,2,0
403224,4,4,4,4,1,1,0
403226,4,4,4,4,1,1,0
403227,3,3,3,3,3,2,0
403232,3,3,3,3,2,2,0
403233,4,4,4,4,4,3,0
