#--------------------------------------------------------------------------------
# DISCLAIMER: DATA CONTAINED IN THIS FILE HAS BEEN PREPARED IN THE CONTEXT OF A RESEARCH PROJECT. IT MAY NOT BE ACCURATE AND IS SUBJECT TO CHANGE.
# USE THIS DATA AT YOUR OWN RISK.
#--------------------------------------------------------------------------------
# Author : Julien Lerat, CSIRO Environment
# Reference : Lerat and Vaze (2025), When the impossible flood happens: how February 2022 redefines extreme floods in Australia. Communications Earth and Environment
# Version : 5
# Date : 2025-04-13 16:46:08.517509
# Source file : DATA_prepare_flood_data.py
#--------------------------------------------------------------------------------
# Description : Information on gauging stations
#--------------------------------------------------------------------------------
#
STATIONID,LONGITUDE[deg],LATITUDE[deg],CATCHMENTAREA[km2],STATE,NAME
207018,152.5303,-31.48486,,NSW,Thone River At Deep Creek Road
208003,152.09737,-31.89657,1610.0,NSW,Gloucester River At Doon Ayre
208004,152.31185,-31.91705,6560.0,NSW,Manning River At Killawarra
208005,152.07934,-31.77346,1870.0,NSW,Nowendoc River At Rocks Crossing
208006,151.87086,-32.03747,630.0,NSW,Barrington River At U/S Rocky Crossing
208007,151.71616,-31.51625,218.0,NSW,Nowendoc River At Nowendoc
208008,151.89744,-32.05739,207.0,NSW,Gloucester River At Forbesdale(Faulklands)
208009,151.3154,-31.5795,150.0,NSW,Barnard River At Barry
208011,151.89918,-31.77137,1790.0,NSW,Barnard River At Mackay
208012,151.8886,-31.8479,480.0,NSW,Manning River At Woko
208015,152.51416,-31.7866,96.0,NSW,Lansdowne River At Lansdowne
208018,151.8695,-32.1187,26.0,NSW,Avon River Below Dam Site
208019,152.29349,-31.83982,492.0,NSW,Dingo Creek At Munyaree Flat
208020,151.95922,-32.00337,253.13,NSW,Gloucester River At Gloucester
208024,151.3442,-31.55894,285.0,NSW,Barnard River At D/S Back River Junction
208029,151.91395,-31.79657,525.141,NSW,Manning River At Leslies Bridge
208031,151.95045,-31.97744,704.63,NSW,Barrington River At Relfs Road
208032,152.33854,-31.87177,551.32,NSW,Dingo Creek At Belbourie Bridge
209002,151.9789,-32.2437,156.0,NSW,Mammy Johnsons River At Pikes Crossing
209003,151.95751,-32.47714,974.0,NSW,Karuah River At Booral
209006,152.2609,-32.1609,150.0,NSW,Wang Wauk River At Willina
209018,151.9,-32.2729,300.0,NSW,Karuah River At Dam Site
210011,151.6873,-32.3187,195.56,NSW,Williams River At Tillegra
210014,151.0486,-32.1515,395.0,NSW,Rouchel Brook At Rouchel Brook (The Vale)
210016,150.3201,-32.4166,4950.0,NSW,Goulburn River At Kerrabee
210017,151.2809,-31.9423,103.0,NSW,Moonan Brook At Moonan Brook
210018,151.2153,-31.9157,764.0,NSW,Hunter River At Moonam Dam Site
210022,151.5129,-32.3063,205.0,NSW,Allyn River At Halton
210029,151.0899,-32.1234,246.0,NSW,Rouchel Brook At Upper Rouchel
210034,150.3641,-32.5197,640.0,NSW,Widden Brook At Widden
210039,151.1104,-32.0018,1180.0,NSW,Hunter River At Belltrees
210040,150.63542,-32.26927,676.0,NSW,Wybong Creek At Wybong
210048,151.0595,-32.8581,1064.0,NSW,Wollombi Brook At Paynes Crossing
210052,150.9976,-32.0103,1050.0,NSW,Pages River At Gundy Recorder
210063,151.3388,-32.7664,14.0,NSW,First Creek At Pokolbin Site 1
210067,151.3397,-32.779,8.0,NSW,Middle Creek At Pokolbin Site 2
210076,150.98241,-32.33625,13.0,NSW,Antiene Creek At Liddell
210079,151.592,-32.5445,956.0,NSW,Paterson River At Gostwyck
210080,151.28336,-32.47159,80.0,NSW,West Brook At U/S Glendon Brook
210089,151.32625,-32.71619,220.0,NSW,Black Creek At Rothbury
210091,150.35298,-32.13428,465.0,NSW,Merriwa River At Merriwa
210114,151.31247,-32.26259,34.71,NSW,Carrow Brook At Carrowbrook
210120,150.847,-32.5595,29.0,NSW,Apple Tree Creek At Dural Gap
210135,151.06469,-32.84032,1088.0,NSW,Wollombi Brook At D/S Brickmans Bridge
210136,151.62781,-32.20133,100.5,NSW,Chichester River At Chichester
210143,151.58426,-32.51658,436.04,NSW,Allyn River At Flying Fox Lane
210144,151.60562,-32.2455,94.09,NSW,Williams River At Underbank
210903,151.7606,-32.3946,670.0,NSW,Williams River At Dungog (Factory Mill Race)
211001,151.4868,-33.1687,20.0,NSW,Wyee Creek At Wyee
211004,151.3633,-33.1221,8.0,NSW,Jilliby Creek At Olney
211006,151.4741,-33.2173,9.0,NSW,Wallarah Creek At Warnervale
211008,151.4702,-33.072,55.0,NSW,Jigadee Creek At Avondale
211009,151.35959,-33.27035,236.0,NSW,Wyong River At Gracemere
211010,151.39147,-33.24538,92.0,NSW,Jilliby Creek At U/S Wyong River (Durren Lane)
211013,151.34331,-33.34832,83.0,NSW,Ourimbah Creek At U/S Weir
211014,151.27482,-33.21867,181.0,NSW,Wyong River At Yarramalong
211015,151.38952,-33.32802,146.14,NSW,Ourimbah Creek D/S Bangalow Creek
212008,150.0825,-33.4277,199.0,NSW,Coxs River At Bathurst Road
212010,150.9724,-33.294,1680.0,NSW,Macdonald River At St Albans
212012,149.7056,-34.7361,622.0,NSW,Wollondilly River At Goulburn
212013,150.24286,-33.73073,26.0,NSW,Megalong Creek At Narrow Neck
212014,150.2397,-33.6125,20.0,NSW,Blackheath Creek At Mount Boyce
212021,150.81059,-32.8611,299.0,NSW,Macdonald River At Howes Valley
212028,150.2382,-33.1842,238.0,NSW,Wolgan River At Newnes
212040,149.5442,-34.6074,96.0,NSW,Kialla Creek At Pomeroy
212048,150.76184,-33.7694,250.0,NSW,South Creek At Great Western Highway
212053,150.61185,-34.17764,83.9,NSW,Stonequarry Creek At Picton
212054,150.0839,-33.3971,178.0,NSW,Coxs River At Wallerawang Power Station
2122003,150.7809,-33.6352,,NSW,Rickabys Creek @ Blacktown Rd South Windsor
2122051,150.56956,-34.38467,,NSW,Nepean River @ Nepean Dam Inflow
2122052,150.59528,-34.4137,,NSW,Burke River At Nepean Dam Inflow
212209,150.5341,-34.47702,,NSW,Nepean River At Maguires Crossing
